year,match_id,match_name,stage_name,group_name,match_date,match_time,stadium_name,city_name,country_name,home_team_name,away_team_name,score,home_team_score,away_team_score,extra_time,penalty_shootout,score_penalties,result
2010,M-2010-18,Argentina vs South Korea,group stage,Group B,2010-06-17,13:30,Soccer City,Johannesburg,South Africa,Argentina,South Korea,4–1,4,1,0,0,0-0,home team win
2010,M-2010-19,Greece vs Nigeria,group stage,Group B,2010-06-17,16:00,Free State Stadium,Bloemfontein,South Africa,Greece,Nigeria,2–1,2,1,0,0,0-0,home team win
2010,M-2010-20,France vs Mexico,group stage,Group A,2010-06-17,20:30,Peter Mokaba Stadium,Polokwane,South Africa,France,Mexico,0–2,0,2,0,0,0-0,away team win
2010,M-2010-21,Germany vs Serbia,group stage,Group D,2010-06-18,13:30,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,Germany,Serbia,0–1,0,1,0,0,0-0,away team win
2010,M-2010-22,Slovenia vs United States,group stage,Group C,2010-06-18,16:00,Ellis Park Stadium,Johannesburg,South Africa,Slovenia,United States,2–2,2,2,0,0,0-0,draw
2010,M-2010-23,England vs Algeria,group stage,Group C,2010-06-18,20:30,Cape Town Stadium,Cape Town,South Africa,England,Algeria,0–0,0,0,0,0,0-0,draw
2010,M-2010-24,Netherlands vs Japan,group stage,Group E,2010-06-19,13:30,Moses Mabhida Stadium,Durban,South Africa,Netherlands,Japan,1–0,1,0,0,0,0-0,home team win
2010,M-2010-25,Ghana vs Australia,group stage,Group D,2010-06-19,16:00,Royal Bafokeng Stadium,Rustenburg,South Africa,Ghana,Australia,1–1,1,1,0,0,0-0,draw
2010,M-2010-26,Cameroon vs Denmark,group stage,Group E,2010-06-19,20:30,Loftus Versfeld Stadium,Pretoria,South Africa,Cameroon,Denmark,1–2,1,2,0,0,0-0,away team win
2010,M-2010-27,Slovakia vs Paraguay,group stage,Group F,2010-06-20,13:30,Free State Stadium,Bloemfontein,South Africa,Slovakia,Paraguay,0–2,0,2,0,0,0-0,away team win
2010,M-2010-28,Italy vs New Zealand,group stage,Group F,2010-06-20,16:00,Mbombela Stadium,Nelspruit,South Africa,Italy,New Zealand,1–1,1,1,0,0,0-0,draw
2010,M-2010-29,Brazil vs Ivory Coast,group stage,Group G,2010-06-20,20:30,Soccer City,Johannesburg,South Africa,Brazil,Ivory Coast,3–1,3,1,0,0,0-0,home team win
2010,M-2010-30,Portugal vs North Korea,group stage,Group G,2010-06-21,13:30,Cape Town Stadium,Cape Town,South Africa,Portugal,North Korea,7–0,7,0,0,0,0-0,home team win
2010,M-2010-31,Chile vs Switzerland,group stage,Group H,2010-06-21,16:00,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,Chile,Switzerland,1–0,1,0,0,0,0-0,home team win
2010,M-2010-32,Spain vs Honduras,group stage,Group H,2010-06-21,20:30,Ellis Park Stadium,Johannesburg,South Africa,Spain,Honduras,2–0,2,0,0,0,0-0,home team win
2010,M-2010-33,France vs South Africa,group stage,Group A,2010-06-22,16:00,Free State Stadium,Bloemfontein,South Africa,France,South Africa,1–2,1,2,0,0,0-0,away team win
2010,M-2010-34,Mexico vs Uruguay,group stage,Group A,2010-06-22,16:00,Royal Bafokeng Stadium,Rustenburg,South Africa,Mexico,Uruguay,0–1,0,1,0,0,0-0,away team win
2010,M-2010-35,Greece vs Argentina,group stage,Group B,2010-06-22,20:30,Peter Mokaba Stadium,Polokwane,South Africa,Greece,Argentina,0–2,0,2,0,0,0-0,away team win
2010,M-2010-36,Nigeria vs South Korea,group stage,Group B,2010-06-22,20:30,Moses Mabhida Stadium,Durban,South Africa,Nigeria,South Korea,2–2,2,2,0,0,0-0,draw
2010,M-2010-37,Slovenia vs England,group stage,Group C,2010-06-23,16:00,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,Slovenia,England,0–1,0,1,0,0,0-0,away team win
2010,M-2010-38,United States vs Algeria,group stage,Group C,2010-06-23,16:00,Loftus Versfeld Stadium,Pretoria,South Africa,United States,Algeria,1–0,1,0,0,0,0-0,home team win
2010,M-2010-39,Australia vs Serbia,group stage,Group D,2010-06-23,20:30,Mbombela Stadium,Nelspruit,South Africa,Australia,Serbia,2–1,2,1,0,0,0-0,home team win
2010,M-2010-40,Ghana vs Germany,group stage,Group D,2010-06-23,20:30,Soccer City,Johannesburg,South Africa,Ghana,Germany,0–1,0,1,0,0,0-0,away team win
